dataset,seed,variant,rules,avg_conditions,total_conditions,gap_accuracy,gap_macro_f1,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_macro_f1,train_macro_f1
car_evaluation.csv,0,classic,142.0,4.661971830985915,662.0,0.10982658959537572,0.30064093553159166,0.8901734104046243,1.0,0.8840566007199454,1.0,0.8901734104046244,1.0,0.8837501566572229,1.0,0.6993590644684083,1.0
car_evaluation.csv,0,validation,153.0,4.810457516339869,736.0,0.16763005780346818,0.44079840319361285,0.8323699421965318,1.0,0.8198776911294976,1.0,0.8323699421965318,1.0,0.8238934847068868,1.0,0.5592015968063871,1.0
car_evaluation.csv,1,classic,147.0,4.741496598639456,697.0,0.138728323699422,0.3299727997556454,0.861271676300578,1.0,0.8604470299557005,1.0,0.8612716763005781,1.0,0.8522413607729339,1.0,0.6700272002443546,1.0
car_evaluation.csv,1,validation,176.0,4.863636363636363,856.0,0.12716763005780352,0.3162089262247918,0.8728323699421965,1.0,0.8701860624586514,1.0,0.8728323699421966,1.0,0.8655301576452048,1.0,0.6837910737752082,1.0
car_evaluation.csv,2,classic,147.0,4.707482993197279,692.0,0.12716763005780352,0.3094822458933524,0.8728323699421965,1.0,0.8670006598208606,1.0,0.8728323699421966,1.0,0.8640472967955367,1.0,0.6905177541066476,1.0
car_evaluation.csv,2,validation,169.0,4.881656804733728,825.0,0.12138728323699421,0.3272513034549511,0.8786127167630058,1.0,0.8709277345912786,1.0,0.8786127167630058,1.0,0.8716779647669304,1.0,0.6727486965450489,1.0
car_evaluation.csv,3,classic,151.0,4.76158940397351,719.0,0.13583815028901736,0.35639743573880645,0.8641618497109826,1.0,0.8561416184971099,1.0,0.8641618497109826,1.0,0.8522913476639666,1.0,0.6436025642611936,1.0
car_evaluation.csv,3,validation,174.0,4.885057471264368,850.0,0.13005780346820806,0.4067384618512492,0.869942196531792,1.0,0.8545219360829366,1.0,0.869942196531792,1.0,0.8579594558150553,1.0,0.5932615381487508,1.0
car_evaluation.csv,4,classic,162.0,4.783950617283951,775.0,0.11849710982658956,0.289922232050715,0.8815028901734104,1.0,0.8778980818451098,1.0,0.8815028901734104,1.0,0.8729917023091561,1.0,0.710077767949285,1.0
car_evaluation.csv,4,validation,175.0,4.92,861.0,0.10404624277456642,0.2636106549899653,0.8959537572254336,1.0,0.8961780994237912,1.0,0.8959537572254336,1.0,0.8905531773979054,1.0,0.7363893450100347,1.0
mushrooms.csv,0,classic,27.0,3.037037037037037,82.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,0,validation,30.0,3.033333333333333,91.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,classic,24.0,3.0416666666666665,73.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,validation,24.0,3.0,72.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,classic,27.0,3.074074074074074,83.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,validation,26.0,3.0,78.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,classic,26.0,3.0384615384615383,79.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,validation,27.0,3.037037037037037,82.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,classic,25.0,3.04,76.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,validation,25.0,3.0,75.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nursery.csv,0,classic,459.0,5.132897603485839,2356.0,0.03446468977015604,0.11092870629681784,0.9629629629629629,0.997427652733119,0.9636555042803725,0.9974473491134167,0.9629629629629631,0.9974276527331188,0.9626677365891483,0.9974275519342931,0.8875183404696212,0.998447046766439
nursery.csv,0,validation,478.0,5.202928870292887,2487.0,0.03279261442578707,0.09442986642818452,0.9625771604938271,0.9953697749196142,0.9634402861874664,0.9954332026604412,0.9625771604938271,0.9953697749196141,0.9622651015538495,0.9953693478118447,0.9027746155165236,0.9972044819447081
nursery.csv,1,classic,459.0,5.16557734204793,2371.0,0.02970634353538959,0.25934753706037683,0.966820987654321,0.9965273311897106,0.9686526961447663,0.996563131899095,0.966820987654321,0.9965273311897106,0.9669724090850823,0.9965271227481131,0.7385559146955127,0.9979034517558896
nursery.csv,1,validation,477.0,5.241090146750524,2500.0,0.02674829304116544,0.07415049147274866,0.9679783950617284,0.9947266881028939,0.9685818996322164,0.9948088019607676,0.9679783950617284,0.9947266881028939,0.9676741551385697,0.994726093364921,0.922665639495277,0.9968161309680257
nursery.csv,2,classic,467.0,5.160599571734475,2410.0,0.03665103608431586,0.2820524979316801,0.9618055555555556,0.9984565916398714,0.9626406787682705,0.9984637041207937,0.9618055555555556,0.9984565916398714,0.9615038837830836,0.9984565609358867,0.7170157570901035,0.9990682550217835
nursery.csv,2,validation,480.0,5.2125,2502.0,0.02687700964630224,0.27193216881826987,0.96875,0.9956270096463022,0.9688799961395096,0.9956836287140957,0.9687499999999999,0.9956270096463021,0.9679615757898078,0.9956266398854395,0.7254276463470875,0.9973598151653573
nursery.csv,3,classic,466.0,5.109442060085837,2381.0,0.03369318407367716,0.2650745044470135,0.9645061728395061,0.9981993569131833,0.9664869992871009,0.9982090303603112,0.9645061728395061,0.9981993569131833,0.9647996740887905,0.9982004309202646,0.7338283320816716,0.9989028365286852
nursery.csv,3,validation,488.0,5.223360655737705,2549.0,0.028420169901949066,0.2619424517309922,0.966820987654321,0.9952411575562701,0.9686016610931654,0.99530813251649,0.966820987654321,0.9952411575562702,0.9670688625035835,0.9952459986814562,0.7351724556578153,0.9971149073888075
nursery.csv,4,classic,458.0,5.152838427947598,2360.0,0.03626498551069823,0.10156805852388451,0.9602623456790124,0.9965273311897106,0.9619456296507596,0.996563131899095,0.9602623456790124,0.9965273311897106,0.9602413919620219,0.9965271227481131,0.8963353932320051,0.9979034517558896
nursery.csv,4,validation,482.0,5.240663900414938,2526.0,0.03767952840300104,0.10690672111464605,0.9583333333333334,0.9960128617363344,0.9613600800531235,0.9960599838431486,0.9583333333333333,0.9960128617363343,0.9588571108446442,0.9960125683250748,0.8906860866388847,0.9975928077535308
