dataset,seed,variant,rules,avg_conditions,total_conditions,gap_accuracy,gap_macro_f1,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_macro_f1,train_macro_f1
car_evaluation.csv,0,classic,142.0,4.661971830985915,662.0,0.12138728323699421,0.3025744111678248,0.8786127167630058,1.0,0.873629109375099,1.0,0.8786127167630059,1.0,0.8716589446077053,1.0,0.6974255888321752,1.0
car_evaluation.csv,0,validation,150.0,4.8,720.0,0.161849710982659,0.43233799533799533,0.838150289017341,1.0,0.8255791549043331,1.0,0.838150289017341,1.0,0.8298840966355419,1.0,0.5676620046620047,1.0
car_evaluation.csv,1,classic,153.0,4.745098039215686,726.0,0.1445086705202312,0.34723381700125877,0.8554913294797688,1.0,0.8527313963751718,1.0,0.8554913294797688,1.0,0.8462135147442313,1.0,0.6527661829987412,1.0
car_evaluation.csv,1,validation,174.0,4.867816091954023,847.0,0.13005780346820806,0.30739742627884215,0.869942196531792,1.0,0.8693750259620332,1.0,0.869942196531792,1.0,0.8622787483412298,1.0,0.6926025737211579,1.0
car_evaluation.csv,2,classic,144.0,4.701388888888889,677.0,0.12427745664739887,0.3385723455288673,0.8757225433526011,1.0,0.8705401634442894,1.0,0.8757225433526014,1.0,0.8683368024006376,1.0,0.6614276544711327,1.0
car_evaluation.csv,2,validation,164.0,4.878048780487805,800.0,0.11560693641618502,0.3076581712497205,0.884393063583815,1.0,0.8763139118966901,1.0,0.8843930635838151,1.0,0.8766428500353438,1.0,0.6923418287502795,1.0
car_evaluation.csv,3,classic,154.0,4.766233766233766,734.0,0.138728323699422,0.36762450802252067,0.861271676300578,1.0,0.8555204515974663,1.0,0.8612716763005781,1.0,0.8501131339279735,1.0,0.6323754919774793,1.0
car_evaluation.csv,3,validation,179.0,4.888268156424581,875.0,0.11271676300578037,0.3554373757455268,0.8872832369942196,1.0,0.8788502928427187,1.0,0.8872832369942197,1.0,0.879990232018295,1.0,0.6445626242544732,1.0
car_evaluation.csv,4,classic,159.0,4.779874213836478,760.0,0.10115606936416188,0.24901057300300167,0.8988439306358381,1.0,0.8971475388595378,1.0,0.8988439306358381,1.0,0.8933100481078369,1.0,0.7509894269969983,1.0
car_evaluation.csv,4,validation,175.0,4.914285714285715,860.0,0.09248554913294793,0.2374784743808649,0.9075144508670521,1.0,0.9039943678672003,1.0,0.9075144508670521,1.0,0.9023850647506315,1.0,0.7625215256191351,1.0
mushrooms.csv,0,classic,27.0,3.037037037037037,82.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,0,validation,28.0,2.892857142857143,81.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,classic,29.0,3.1379310344827585,91.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,validation,27.0,2.962962962962963,80.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,classic,25.0,2.96,74.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,validation,26.0,2.923076923076923,76.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,classic,19.0,2.8947368421052633,55.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,validation,19.0,2.8947368421052633,55.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,classic,25.0,2.96,74.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,validation,23.0,2.9565217391304346,68.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
